person_id_random,nLoans,loanStartDates,loanPaidDates,currentDate
6687103750,5,2015-01-21;2015-02-12;2015-03-01;2015-03-07;2015-04-28,2015-02-04;2015-02-28;2015-03-06;2015-04-28,2015-08-19
6491386882,2,2015-03-19;2015-06-20,2015-04-09;2015-07-11,2015-08-19
9973267281,3,2015-03-23;2015-04-10;2015-04-18,2015-04-10;2015-04-18,2015-08-19
4042825054,5,2015-04-27;2015-05-05;2015-05-23;2015-06-17;2015-08-07,2015-05-02;2015-05-13;2015-06-15;2015-07-15,2015-08-19
6917193248,2,2015-03-17;2015-04-09,2015-04-07,2015-08-19
3752805269,3,2015-06-27;2015-07-17;2015-08-07,2015-07-17;2015-08-07,2015-08-19
5903857819,1,2015-01-29,,2015-08-19
5570008040,4,2015-07-15;2015-07-20;2015-07-21;2015-07-31,2015-07-20;2015-07-21;2015-07-31,2015-08-19
2612671805,1,2014-10-24,,2015-08-19
4746602099,1,2015-07-24,2015-08-13,2015-08-19
1733220813,3,2015-07-14;2015-08-08;2015-08-16,2015-08-04;2015-08-16,2015-08-19
5377931105,4,2014-06-16;2014-10-22;2014-11-09;2014-12-20,2014-07-07;2014-11-05;2014-12-17,2015-08-19
5826558835,7,2014-09-27;2014-10-04;2014-10-27;2014-11-18;2014-12-12;2015-01-11;2015-01-29,2014-10-04;2014-10-27;2014-11-17;2014-12-10;2015-01-02;2015-01-29,2015-08-19
6177775040,1,2015-03-27,,2015-08-19
7419788148,1,2014-12-06,,2015-08-19
3764746080,4,2014-07-29;2014-09-04;2014-09-09;2014-10-01,2014-08-19;2014-09-09;2014-09-19,2015-08-19
2436738636,1,2015-05-25,,2015-08-19
1616151767,1,2015-04-03,,2015-08-19
5449485614,9,2015-03-28;2015-04-14;2015-04-27;2015-05-09;2015-05-26;2015-06-04;2015-06-23;2015-07-19;2015-08-15,2015-04-04;2015-04-27;2015-05-08;2015-05-25;2015-06-03;2015-06-19;2015-07-13,2015-08-19
7472748908,6,2015-04-20;2015-05-17;2015-06-08;2015-06-12;2015-06-13;2015-06-13,2015-05-03;2015-06-08;2015-06-12;2015-06-13;2015-06-13,2015-08-19
3785558347,4,2015-06-22;2015-07-05;2015-07-22;2015-08-12,2015-07-05;2015-07-22;2015-08-11,2015-08-19
9677770426,2,2015-03-03;2015-03-12,2015-03-12,2015-08-19
3483024126,2,2015-07-25;2015-08-12,2015-08-12,2015-08-19
1743432522,10,2015-03-30;2015-04-12;2015-04-28;2015-05-10;2015-05-23;2015-06-08;2015-07-10;2015-07-14;2015-08-04;2015-08-14,2015-04-10;2015-04-19;2015-05-09;2015-05-20;2015-06-03;2015-06-16;2015-07-12;2015-07-15;2015-08-08,2015-08-19
5898120995,10,2015-06-10;2015-06-17;2015-06-22;2015-06-27;2015-07-06;2015-07-13;2015-07-21;2015-07-28;2015-08-12;2015-08-19,2015-06-17;2015-06-22;2015-06-27;2015-07-04;2015-07-13;2015-07-20;2015-07-28;2015-08-12;2015-08-19,2015-08-19
5120292396,1,2014-11-04,,2015-08-19
9808214543,1,2015-04-10,,2015-08-19
2571797067,3,2015-07-14;2015-08-08;2015-08-17,2015-08-08;2015-08-12,2015-08-19
4342241928,1,2014-05-15,,2015-08-19
5574393088,5,2015-05-11;2015-05-16;2015-05-17;2015-05-25;2015-06-08,2015-05-16;2015-05-17;2015-05-25;2015-06-08,2015-08-19
9045211188,5,2015-07-02;2015-07-03;2015-07-06;2015-07-09;2015-08-01,2015-07-03;2015-07-06;2015-07-09;2015-08-01,2015-08-19
9255169851,4,2015-07-04;2015-07-22;2015-07-22;2015-08-06,2015-07-21;2015-07-22;2015-08-06,2015-08-19
7930805770,1,2014-12-18,,2015-08-19
8714622022,4,2015-05-19;2015-06-14;2015-07-20;2015-07-23,2015-06-10;2015-07-09;2015-07-23,2015-08-19
3744930975,1,2015-01-08,,2015-08-19
8450552497,1,2015-03-09,2015-03-30,2015-08-19
3054378668,5,2015-06-16;2015-06-23;2015-06-30;2015-07-08;2015-07-28,2015-06-23;2015-06-30;2015-07-07;2015-07-28,2015-08-19
6507014956,2,2015-04-02;2015-04-13,2015-04-13,2015-08-19
6055146943,1,2015-04-09,,2015-08-19
1978413484,1,2014-06-12,2014-07-03,2015-08-19
7258285849,2,2014-12-16;2015-01-06,2015-01-05,2015-08-19
1998097878,8,2015-03-24;2015-04-16;2015-05-07;2015-05-19;2015-06-11;2015-07-06;2015-08-01;2015-08-17,2015-04-14;2015-05-04;2015-05-19;2015-06-09;2015-07-01;2015-08-01;2015-08-17,2015-08-19
6768500803,2,2015-07-27;2015-08-06,2015-08-04,2015-08-19
1921206894,3,2015-06-26;2015-07-19;2015-08-10,2015-07-18;2015-08-09,2015-08-19
2669649960,1,2014-05-27,,2015-08-19
8155541862,1,2015-04-16,2015-04-30,2015-08-19
3080908054,7,2015-04-01;2015-04-21;2015-04-27;2015-05-16;2015-05-25;2015-06-08;2015-08-15,2015-04-21;2015-04-27;2015-05-16;2015-05-25;2015-06-08;2015-08-15,2015-08-19
9367555536,1,2015-06-20,,2015-08-19
9984848342,3,2015-06-22;2015-07-13;2015-08-04,2015-07-13;2015-08-04,2015-08-19
8993973315,2,2015-07-16;2015-07-24,2015-07-17,2015-08-19
7389317375,7,2015-05-31;2015-06-05;2015-06-17;2015-06-23;2015-07-03;2015-07-23;2015-08-01,2015-06-05;2015-06-17;2015-06-23;2015-06-30;2015-07-23;2015-08-01;2015-08-15,2015-08-19
3561640239,1,2015-05-06,,2015-08-19
9754677030,3,2015-04-09;2015-04-28;2015-08-14,2015-04-28;2015-08-10,2015-08-19
4951166708,5,2015-03-29;2015-04-20;2015-05-21;2015-06-17;2015-07-22,2015-04-16;2015-05-21;2015-06-17;2015-07-22,2015-08-19
7549961913,1,2014-10-30,,2015-08-19
2151915927,2,2015-07-10;2015-07-25,2015-07-25;2015-08-07,2015-08-19
3585535472,2,2014-05-07;2014-06-03,2014-06-03,2015-08-19
3517910470,1,2015-05-22,,2015-08-19
5115392371,2,2015-05-06;2015-08-04,2015-05-27,2015-08-19
5174506041,3,2015-06-29;2015-07-20;2015-08-06,2015-07-20;2015-07-27,2015-08-19
1197328073,3,2015-07-18;2015-08-09;2015-08-15,2015-08-08;2015-08-15,2015-08-19
4002742728,12,2014-08-18;2014-08-25;2014-09-26;2014-10-18;2014-11-25;2014-12-19;2015-01-25;2015-02-23;2015-03-13;2015-05-18;2015-06-19;2015-07-13,2014-08-25;2014-09-15;2014-10-16;2014-11-04;2014-12-15;2015-01-24;2015-02-23;2015-03-12;2015-05-04;2015-06-01;2015-07-13;2015-08-04,2015-08-19
5816669626,8,2015-05-07;2015-05-21;2015-06-05;2015-06-12;2015-06-26;2015-07-13;2015-07-28;2015-08-17,2015-05-20;2015-06-05;2015-06-12;2015-06-26;2015-07-13;2015-07-28;2015-08-16,2015-08-19
8251050249,3,2015-07-11;2015-07-30;2015-08-08,2015-07-30;2015-08-03,2015-08-19
7640935498,2,2014-07-24;2014-09-08,2014-09-04,2015-08-19
5657424461,9,2015-04-11;2015-04-18;2015-04-24;2015-05-07;2015-05-30;2015-07-06;2015-07-20;2015-07-29;2015-08-17,2015-04-18;2015-04-24;2015-05-07;2015-05-30;2015-06-25;2015-07-19;2015-07-29;2015-08-16,2015-08-19
2567699254,6,2015-05-11;2015-05-30;2015-06-12;2015-06-26;2015-07-11;2015-07-28,2015-05-26;2015-06-12;2015-06-25;2015-07-10;2015-07-28,2015-08-19
8100109588,1,2015-07-19,,2015-08-19
2373167024,2,2015-06-09;2015-07-01,2015-06-30,2015-08-19
6166787811,1,2015-07-14,,2015-08-19
5799676461,2,2014-06-03;2014-11-04,2014-07-31,2015-08-19
4906074010,2,2015-06-29;2015-07-16,2015-07-15,2015-08-19
1355461896,3,2015-06-20;2015-07-08;2015-08-06,2015-07-08;2015-08-05,2015-08-19
2003808034,2,2015-06-12;2015-07-04,2015-06-30;2015-07-10,2015-08-19
1817487983,20,2014-05-21;2014-06-11;2014-07-14;2014-08-05;2014-08-26;2014-09-09;2014-09-30;2014-10-25;2014-11-17;2014-12-15;2015-01-14;2015-02-05;2015-02-24;2015-03-17;2015-04-13;2015-05-08;2015-05-31;2015-06-23;2015-07-11;2015-08-08,2014-06-11;2014-07-02;2014-08-02;2014-08-23;2014-09-08;2014-09-30;2014-10-17;2014-11-12;2014-12-08;2015-01-04;2015-01-30;2015-02-24;2015-03-16;2015-04-07;2015-05-04;2015-05-30;2015-06-22;2015-07-11,2015-08-19
7430130268,8,2015-02-28;2015-03-09;2015-03-24;2015-04-13;2015-04-28;2015-05-26;2015-07-13;2015-08-11,2015-03-09;2015-03-24;2015-04-13;2015-04-28;2015-05-26;2015-07-13;2015-08-11,2015-08-19
7470733511,3,2015-04-03;2015-04-21;2015-05-02,2015-04-20;2015-05-02,2015-08-19
3565083094,1,2014-08-29,,2015-08-19
8389868976,3,2015-03-14;2015-05-01;2015-05-31,2015-04-02;2015-05-22,2015-08-19
4020568831,2,2015-02-23;2015-03-12,2015-03-12,2015-08-19
1183321030,3,2014-06-16;2014-07-03;2014-10-14,2014-07-02;2014-07-15,2015-08-19
7378814827,14,2014-10-01;2014-10-21;2014-11-12;2014-12-07;2014-12-30;2015-01-22;2015-02-20;2015-03-10;2015-03-31;2015-04-22;2015-05-13;2015-05-28;2015-06-15;2015-07-15,2014-10-20;2014-11-12;2014-12-05;2014-12-29;2015-01-20;2015-02-14;2015-03-10;2015-03-28;2015-04-22;2015-05-13;2015-05-28;2015-06-15;2015-07-11,2015-08-19
3380009999,2,2015-07-01;2015-08-03,2015-07-31,2015-08-19
2776111859,4,2015-06-18;2015-07-10;2015-07-27;2015-08-09,2015-07-02;2015-07-27;2015-08-06,2015-08-19
1314735035,2,2015-07-17;2015-08-09,2015-08-09,2015-08-19
4002692992,2,2015-06-01;2015-06-09,2015-06-09,2015-08-19
7822001133,3,2015-07-20;2015-07-28;2015-08-13,2015-07-28;2015-08-13,2015-08-19
1676546225,1,2015-07-06,,2015-08-19
9513977406,1,2014-08-28,,2015-08-19
3670141772,2,2014-05-20;2014-05-30,2014-05-30,2015-08-19
7366844365,1,2015-05-15,,2015-08-19
3061012163,2,2015-07-09;2015-08-05,2015-07-30,2015-08-19
1497166208,6,2015-03-29;2015-05-10;2015-06-02;2015-06-27;2015-07-20;2015-08-11,2015-04-17;2015-05-31;2015-06-23;2015-07-19;2015-08-11,2015-08-19
9889040447,1,2015-07-27,,2015-08-19
2016018499,1,2015-04-27,,2015-08-19
4110112364,2,2015-07-04;2015-07-25,2015-07-25;2015-08-17,2015-08-19
4656062708,21,2014-04-22;2014-04-22;2014-05-30;2014-06-18;2014-07-25;2014-08-16;2014-09-04;2014-09-25;2014-10-21;2014-12-01;2014-12-23;2015-01-12;2015-01-24;2015-02-07;2015-03-01;2015-03-21;2015-04-13;2015-05-01;2015-06-16;2015-07-10;2015-08-05,2014-04-22;2014-05-13;2014-06-18;2014-07-11;2014-08-15;2014-09-03;2014-09-24;2014-10-17;2014-11-04;2014-12-19;2015-01-08;2015-01-21;2015-02-06;2015-03-01;2015-03-21;2015-04-13;2015-05-01;2015-06-12;2015-07-10;2015-08-05,2015-08-19
7961977516,1,2015-03-31,,2015-08-19
3219677874,1,2014-09-07,,2015-08-19
1006266651,1,2015-07-22,,2015-08-19
3596771176,2,2015-06-21;2015-06-28,2015-06-28,2015-08-19
5741429746,3,2015-03-27;2015-04-09;2015-05-09,2015-04-02;2015-05-03,2015-08-19
1516706338,1,2014-08-29,,2015-08-19
8638580379,2,2015-07-15;2015-08-03,2015-08-03,2015-08-19
8000018034,4,2015-05-29;2015-06-12;2015-06-26;2015-07-17,2015-06-12;2015-06-26;2015-07-17;2015-08-07,2015-08-19
7303163256,10,2015-04-03;2015-04-14;2015-05-02;2015-05-13;2015-05-27;2015-06-10;2015-06-24;2015-07-11;2015-07-25;2015-08-09,2015-04-14;2015-04-29;2015-05-13;2015-05-27;2015-06-10;2015-06-24;2015-07-04;2015-07-25;2015-08-09,2015-08-19
1670455912,2,2015-05-30;2015-08-04,2015-06-12,2015-08-19
7020135676,5,2015-06-29;2015-07-07;2015-07-17;2015-08-01;2015-08-17,2015-07-06;2015-07-16;2015-08-01;2015-08-16,2015-08-19
7581223009,2,2015-07-08;2015-08-01,2015-07-29,2015-08-19
7088580488,2,2015-07-18;2015-08-11,2015-08-09,2015-08-19
3743259894,1,2015-07-22,2015-08-07,2015-08-19
9366636131,4,2015-06-15;2015-06-29;2015-07-20;2015-08-18,2015-06-27;2015-07-19;2015-08-10,2015-08-19
7777374938,2,2014-06-08;2014-07-18,2014-07-07,2015-08-19
3401108129,1,2014-12-24,,2015-08-19
8716883625,4,2015-05-29;2015-06-15;2015-06-30;2015-08-03,2015-06-15;2015-06-29;2015-07-22,2015-08-19
4097229256,6,2015-02-10;2015-03-10;2015-04-13;2015-05-13;2015-07-08;2015-08-01,2015-03-03;2015-04-02;2015-05-01;2015-06-30;2015-08-01,2015-08-19
6033880411,10,2015-01-26;2015-02-14;2015-03-07;2015-03-28;2015-04-18;2015-05-07;2015-05-26;2015-06-13;2015-07-04;2015-07-25,2015-02-13;2015-03-07;2015-03-28;2015-04-18;2015-05-07;2015-05-26;2015-06-13;2015-07-04;2015-07-25,2015-08-19
1777949145,7,2015-05-29;2015-06-05;2015-06-12;2015-06-30;2015-07-19;2015-07-31;2015-08-15,2015-06-05;2015-06-12;2015-06-29;2015-07-07;2015-07-30;2015-08-14,2015-08-19
4738098277,11,2015-03-29;2015-04-16;2015-04-24;2015-05-04;2015-05-12;2015-05-20;2015-06-03;2015-06-18;2015-07-02;2015-07-20;2015-08-05,2015-04-16;2015-04-23;2015-05-04;2015-05-12;2015-05-19;2015-06-03;2015-06-18;2015-07-02;2015-07-20;2015-08-04,2015-08-19
8057731840,1,2014-07-23,,2015-08-19
1299427536,1,2014-07-23,2014-09-03,2015-08-19
7585759305,1,2014-09-11,,2015-08-19
4581264233,1,2015-04-02,,2015-08-19
1272813046,4,2015-02-10;2015-05-13;2015-06-01;2015-06-13,2015-03-03;2015-06-01;2015-06-13,2015-08-19
9745064088,3,2015-05-02;2015-06-08;2015-06-11,2015-06-06;2015-06-10,2015-08-19
5682976418,1,2015-05-14,2015-06-04,2015-08-19
2398603694,3,2015-05-25;2015-06-10;2015-06-13,2015-06-10;2015-06-13,2015-08-19
3010231585,2,2015-07-09;2015-07-29,2015-07-22;2015-08-07,2015-08-19
5085179989,13,2014-10-02;2014-10-16;2014-10-31;2014-11-21;2014-12-06;2014-12-16;2014-12-31;2015-01-19;2015-02-10;2015-03-06;2015-03-27;2015-04-23;2015-05-05,2014-10-15;2014-10-30;2014-11-18;2014-12-05;2014-12-10;2014-12-30;2015-01-16;2015-02-10;2015-03-03;2015-03-27;2015-04-20;2015-04-30,2015-08-19
6015554652,7,2015-05-20;2015-05-27;2015-05-31;2015-06-12;2015-06-27;2015-07-11;2015-07-25,2015-05-27;2015-05-31;2015-06-12;2015-06-27;2015-07-11;2015-07-25,2015-08-19
4461208066,2,2015-07-28;2015-08-12,2015-08-11,2015-08-19
3252413480,12,2015-02-22;2015-03-13;2015-03-25;2015-04-08;2015-04-21;2015-05-04;2015-05-21;2015-06-10;2015-06-24;2015-07-11;2015-07-22;2015-08-09,2015-03-13;2015-03-25;2015-04-08;2015-04-21;2015-05-04;2015-05-21;2015-06-10;2015-06-24;2015-07-11;2015-07-22;2015-08-09,2015-08-19
2151054057,5,2014-10-10;2014-10-28;2014-11-19;2014-12-06;2014-12-19,2014-10-28;2014-11-18;2014-12-06;2014-12-18,2015-08-19
6224726229,1,2015-03-19,,2015-08-19
5945488348,2,2015-03-15;2015-04-09,2015-04-03,2015-08-19
8946883110,2,2015-04-13;2015-05-20,2015-05-20,2015-08-19
1615532287,7,2015-06-13;2015-06-17;2015-06-30;2015-07-08;2015-07-18;2015-07-24;2015-08-14,2015-06-16;2015-06-30;2015-07-08;2015-07-18;2015-07-24;2015-08-12,2015-08-19
6768006410,2,2015-01-26;2015-02-16,2015-02-15,2015-08-19
4811992520,1,2015-03-19,,2015-08-19
3624329372,1,2014-08-29,,2015-08-19
1280507511,1,2014-10-01,,2015-08-19
2033348143,1,2015-04-30,,2015-08-19
5217601507,2,2015-07-10;2015-07-30,2015-07-30,2015-08-19
9453964086,1,2014-07-21,,2015-08-19
5511930733,3,2015-07-24;2015-07-29;2015-08-08,2015-07-29;2015-08-08,2015-08-19
7268198319,1,2015-07-14,2015-08-15,2015-08-19
6268509017,3,2014-09-23;2014-10-17;2014-11-05,2014-10-17;2014-11-04,2015-08-19
7502458411,3,2015-04-22;2015-05-17;2015-06-14,2015-05-12;2015-06-12,2015-08-19
4740365226,5,2015-03-31;2015-04-16;2015-04-21;2015-05-05;2015-05-27,2015-04-13;2015-04-21;2015-05-05;2015-05-25,2015-08-19
8550857009,4,2015-06-16;2015-07-07;2015-07-22;2015-08-06,2015-07-07;2015-07-21;2015-08-06,2015-08-19
5312329083,2,2015-07-29;2015-08-12,2015-08-12,2015-08-19
3321063881,3,2015-03-17;2015-06-05;2015-07-20,2015-04-02;2015-06-27,2015-08-19
8609804338,2,2015-07-17;2015-08-11,2015-08-04;2015-08-18,2015-08-19
5988618720,2,2015-03-09;2015-07-08,2015-03-27,2015-08-19
2648460353,7,2015-04-09;2015-04-14;2015-04-29;2015-05-13;2015-05-26;2015-06-10;2015-07-01,2015-04-14;2015-04-28;2015-05-13;2015-05-26;2015-06-09;2015-06-30,2015-08-19
1648126910,1,2015-07-21,,2015-08-19
2345287133,1,2015-07-26,2015-08-12,2015-08-19
5359782636,3,2015-03-25;2015-05-03;2015-05-04,2015-05-03;2015-05-04,2015-08-19
8053556486,3,2015-06-29;2015-07-28;2015-08-03,2015-07-20;2015-08-03,2015-08-19
4493372220,5,2015-03-01;2015-03-11;2015-04-07;2015-05-07;2015-06-01,2015-03-11;2015-04-07;2015-05-07;2015-06-01,2015-08-19
8126857977,2,2015-05-22;2015-07-15,2015-06-10,2015-08-19
4792942529,6,2015-04-16;2015-04-23;2015-04-27;2015-05-21;2015-06-16;2015-07-24,2015-04-23;2015-04-27;2015-05-21;2015-06-15;2015-07-24,2015-08-19
2704294846,3,2015-06-24;2015-07-08;2015-08-18,2015-07-03;2015-08-06,2015-08-19
9594494228,2,2015-07-14;2015-07-28,2015-07-27;2015-08-17,2015-08-19
4949206686,3,2015-03-11;2015-03-24;2015-04-20,2015-03-23;2015-04-18,2015-08-19
9804175165,13,2015-02-15;2015-02-27;2015-03-13;2015-03-20;2015-03-31;2015-04-08;2015-04-13;2015-04-20;2015-04-27;2015-05-08;2015-05-15;2015-05-22;2015-05-29,2015-02-19;2015-03-13;2015-03-19;2015-03-28;2015-04-08;2015-04-13;2015-04-20;2015-04-27;2015-05-04;2015-05-15;2015-05-22;2015-05-29,2015-08-19
4847988237,4,2015-06-09;2015-06-12;2015-06-15;2015-06-30,2015-06-12;2015-06-15;2015-06-30,2015-08-19
5559702426,3,2015-06-10;2015-07-12;2015-08-17,2015-04-07;2015-08-08,2015-08-19
3738922495,5,2015-06-09;2015-06-14;2015-06-21;2015-06-29;2015-08-05,2015-06-13;2015-06-21;2015-06-28;2015-07-28,2015-08-19
9193097824,1,2014-08-27,,2015-08-19
4116829921,2,2015-05-16;2015-06-05,2015-05-23,2015-08-19
7624836270,1,2015-07-20,2015-08-10,2015-08-19
7125219495,1,2014-07-09,,2015-08-19
7177006216,1,2014-06-13,,2015-08-19
6108121189,3,2015-04-03;2015-05-01;2015-05-01,2015-04-27;2015-05-01,2015-08-19
9851390076,1,2015-07-04,2015-07-24,2015-08-19
